word,confidence,duration,sentence,audio_file,source,license
албумот,0.8989,0.441,Во подоцнежните изданија на албумот прстот е намерно замаглен.,common_voice_mk_39663782.mp3,Common Voice 17.0 MK,CC-0
бакшиш,0.9880,0.541,Остава богат бакшиш и со несигурен чекор заминува.,common_voice_mk_39663799.mp3,Common Voice 17.0 MK,CC-0
бараат,0.9986,0.422,Сега моите песни ја бараат мојата глава.,common_voice_mk_39663801.mp3,Common Voice 17.0 MK,CC-0
беа,0.9841,0.260,Сите тие беа различните лица на еден ист човек.,common_voice_mk_39663697.mp3,Common Voice 17.0 MK,CC-0
биде,0.9987,0.241,"Економијата тоне, дупката во буџетот ќе биде огромна",common_voice_mk_39663719.mp3,Common Voice 17.0 MK,CC-0
бил,0.9380,0.241,"Си бил еднаш еден цар, многу млад и многу стар.",common_voice_mk_39663798.mp3,Common Voice 17.0 MK,CC-0
благодарение,0.9855,0.741,"Благодарение на историското наследство, ние сме сиромашен народ.",common_voice_mk_39651078.mp3,Common Voice 17.0 MK,CC-0
богат,0.9996,0.381,Остава богат бакшиш и со несигурен чекор заминува.,common_voice_mk_39663799.mp3,Common Voice 17.0 MK,CC-0
брат,0.9698,0.260,"Тоа е сѐ и нишо друго, брат.",common_voice_mk_39663700.mp3,Common Voice 17.0 MK,CC-0
брзо,0.9997,0.381,Тимот за итни случаи пристигна брзо.,common_voice_mk_39663800.mp3,Common Voice 17.0 MK,CC-0
буџетот,0.9623,0.502,"Економијата тоне, дупката во буџетот ќе биде огромна",common_voice_mk_39663719.mp3,Common Voice 17.0 MK,CC-0
велосипедите,0.9164,0.821,Кога ќе станеме ќе ги земеме велосипедите и ќе одиме на излет.,common_voice_mk_39663758.mp3,Common Voice 17.0 MK,CC-0
вишок,0.9986,0.440,"Откако власта ќе констатира вишок, таа пристапува кон дезинфицирање на домот.",common_voice_mk_39663802.mp3,Common Voice 17.0 MK,CC-0
власта,0.9993,0.420,"Откако власта ќе констатира вишок, таа пристапува кон дезинфицирање на домот.",common_voice_mk_39663802.mp3,Common Voice 17.0 MK,CC-0
внимателно,0.9049,0.641,Не знаев што е и пробав внимателно да го допрам разболеното место.,common_voice_mk_39663761.mp3,Common Voice 17.0 MK,CC-0
во,0.9997,0.160,Во подоцнежните изданија на албумот прстот е намерно замаглен.,common_voice_mk_39663782.mp3,Common Voice 17.0 MK,CC-0
ги,0.9942,0.160,Кога ќе станеме ќе ги земеме велосипедите и ќе одиме на излет.,common_voice_mk_39663758.mp3,Common Voice 17.0 MK,CC-0
глава,0.9949,0.402,Сега моите песни ја бараат мојата глава.,common_voice_mk_39663801.mp3,Common Voice 17.0 MK,CC-0
глетка,0.9105,0.481,За малку не припаднав од таа глетка.,common_voice_mk_39663760.mp3,Common Voice 17.0 MK,CC-0
го,0.9989,0.140,Не знаев што е и пробав внимателно да го допрам разболеното место.,common_voice_mk_39663761.mp3,Common Voice 17.0 MK,CC-0
градови,0.9996,0.441,Ќе одиш низ ледени пространства и градови претрупани со луѓе.,common_voice_mk_39651077.mp3,Common Voice 17.0 MK,CC-0
да,0.9993,0.160,Не знаев што е и пробав внимателно да го допрам разболеното место.,common_voice_mk_39663761.mp3,Common Voice 17.0 MK,CC-0
дезинфицирање,0.9959,0.921,"Откако власта ќе констатира вишок, таа пристапува кон дезинфицирање на домот.",common_voice_mk_39663802.mp3,Common Voice 17.0 MK,CC-0
домот,0.9724,0.380,"Откако власта ќе констатира вишок, таа пристапува кон дезинфицирање на домот.",common_voice_mk_39663802.mp3,Common Voice 17.0 MK,CC-0
допрам,0.9992,0.461,Не знаев што е и пробав внимателно да го допрам разболеното место.,common_voice_mk_39663761.mp3,Common Voice 17.0 MK,CC-0
друго,0.9977,0.341,"Тоа е сѐ и нишо друго, брат.",common_voice_mk_39663700.mp3,Common Voice 17.0 MK,CC-0
дупката,0.9855,0.462,"Економијата тоне, дупката во буџетот ќе биде огромна",common_voice_mk_39663719.mp3,Common Voice 17.0 MK,CC-0
е,0.9971,0.100,Во подоцнежните изданија на албумот прстот е намерно замаглен.,common_voice_mk_39663782.mp3,Common Voice 17.0 MK,CC-0
еден,0.9992,0.260,Сите тие беа различните лица на еден ист човек.,common_voice_mk_39663697.mp3,Common Voice 17.0 MK,CC-0
еднаш,0.7928,0.401,"Си бил еднаш еден цар, многу млад и многу стар.",common_voice_mk_39663798.mp3,Common Voice 17.0 MK,CC-0
економијата,0.9998,0.702,"Економијата тоне, дупката во буџетот ќе биде огромна",common_voice_mk_39663719.mp3,Common Voice 17.0 MK,CC-0
ждере,0.9916,0.502,Кај нас се пишува како кога се ждере.,common_voice_mk_39663781.mp3,Common Voice 17.0 MK,CC-0
за,0.9997,0.160,За малку не припаднав од таа глетка.,common_voice_mk_39663760.mp3,Common Voice 17.0 MK,CC-0
задишано,0.9806,0.642,Не можам да трпам повеќе - рече задишано.,common_voice_mk_39663780.mp3,Common Voice 17.0 MK,CC-0
замаглен,0.9995,0.561,Во подоцнежните изданија на албумот прстот е намерно замаглен.,common_voice_mk_39663782.mp3,Common Voice 17.0 MK,CC-0
заминува,0.9881,0.561,Остава богат бакшиш и со несигурен чекор заминува.,common_voice_mk_39663799.mp3,Common Voice 17.0 MK,CC-0
земеме,0.9923,0.401,Кога ќе станеме ќе ги земеме велосипедите и ќе одиме на излет.,common_voice_mk_39663758.mp3,Common Voice 17.0 MK,CC-0
знаев,0.9933,0.300,Не знаев што е и пробав внимателно да го допрам разболеното место.,common_voice_mk_39663761.mp3,Common Voice 17.0 MK,CC-0
